,MobileNetV3 (fine-tuned),ViT-S/16 (fine-tuned)
test accuracy,0.8445523941707148,0.8202637057598889
test macro-F1,0.7059185979930529,0.6917245922567526
ECE raw,0.02891110046136553,0.03249467662189836
ECE calibrated,0.024853892205573883,0.030216382928890624
val macro-F1,0.7152027986737334,0.7522786781935104
