,MobileNetV3 (fine-tuned),DINOv2 ViT-S (frozen+MLP)
test accuracy,0.8445523941707148,0.8119
test macro-F1,0.7059185979930529,0.6387
ECE raw,0.02891110046136553,0.0251
ECE calibrated,0.024853892205573883,0.0183
val macro-F1,0.7152027986737334,0.7174
